"TIME","GEO","AGE","SEX","Value","Flag and Footnotes"
"1982","Germany (until 1990 former territory of the FRG)","Total","Total","61 712 689",""
"1983","Germany (until 1990 former territory of the FRG)","Total","Total","61 546 101",""
"1984","Germany (until 1990 former territory of the FRG)","Total","Total","61 306 669",""
"1985","Germany (until 1990 former territory of the FRG)","Total","Total","61 049 256",""
"1986","Germany (until 1990 former territory of the FRG)","Total","Total","61 020 474",""
"1987","Germany (until 1990 former territory of the FRG)","Total","Total","61 140 461",""
"1988","Germany (until 1990 former territory of the FRG)","Total","Total","61 238 079",""
"1989","Germany (until 1990 former territory of the FRG)","Total","Total","61 715 103",""
"1990","Germany (until 1990 former territory of the FRG)","Total","Total","62 679 035",""
"1991","Germany (until 1990 former territory of the FRG)","Total","Total","79 753 227",""
"1992","Germany (until 1990 former territory of the FRG)","Total","Total","80 274 564",""
"1993","Germany (until 1990 former territory of the FRG)","Total","Total","80 974 632",""
"1994","Germany (until 1990 former territory of the FRG)","Total","Total","81 338 093",""
"1995","Germany (until 1990 former territory of the FRG)","Total","Total","81 538 603",""
"1996","Germany (until 1990 former territory of the FRG)","Total","Total","81 817 499",""
"1997","Germany (until 1990 former territory of the FRG)","Total","Total","82 012 162",""
"1998","Germany (until 1990 former territory of the FRG)","Total","Total","82 057 379",""
"1999","Germany (until 1990 former territory of the FRG)","Total","Total","82 037 011",""
"2000","Germany (until 1990 former territory of the FRG)","Total","Total","82 163 475",""
"2001","Germany (until 1990 former territory of the FRG)","Total","Total","82 259 540",""
"2002","Germany (until 1990 former territory of the FRG)","Total","Total","82 440 309",""
"2003","Germany (until 1990 former territory of the FRG)","Total","Total","82 536 680",""
"2004","Germany (until 1990 former territory of the FRG)","Total","Total","82 531 671",""
"2005","Germany (until 1990 former territory of the FRG)","Total","Total","82 500 849",""
"2006","Germany (until 1990 former territory of the FRG)","Total","Total","82 437 995",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Total","82 314 906",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","82 217 837",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","82 002 356",""
"2010","Germany (until 1990 former territory of the FRG)","Total","Total","81 802 257",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Total","81 751 602",""
"2012","Germany (until 1990 former territory of the FRG)","Total","Total","81 843 743","p"
"1975","Germany (including former GDR)","Total","Total","78 882 235",""
"1976","Germany (including former GDR)","Total","Total","78 464 873",""
"1977","Germany (including former GDR)","Total","Total","78 209 026",""
"1978","Germany (including former GDR)","Total","Total","78 110 602",""
"1979","Germany (including former GDR)","Total","Total","78 073 038",""
"1980","Germany (including former GDR)","Total","Total","78 179 662",""
"1981","Germany (including former GDR)","Total","Total","78 397 490",""
"1982","Germany (including former GDR)","Total","Total","78 418 324",""
"1983","Germany (including former GDR)","Total","Total","78 248 407",""
"1984","Germany (including former GDR)","Total","Total","78 008 156",""
"1985","Germany (including former GDR)","Total","Total","77 709 213",""
"1986","Germany (including former GDR)","Total","Total","77 660 533",""
"1987","Germany (including former GDR)","Total","Total","77 780 338",""
"1988","Germany (including former GDR)","Total","Total","77 899 502",""
"1989","Germany (including former GDR)","Total","Total","78 389 735",""
"1990","Germany (including former GDR)","Total","Total","79 112 831",""
"1991","Germany (including former GDR)","Total","Total","79 753 227",""
"1992","Germany (including former GDR)","Total","Total","80 274 564",""
"1993","Germany (including former GDR)","Total","Total","80 974 632",""
"1994","Germany (including former GDR)","Total","Total","81 338 093",""
"1995","Germany (including former GDR)","Total","Total","81 538 603",""
"1996","Germany (including former GDR)","Total","Total","81 817 499",""
"1997","Germany (including former GDR)","Total","Total","82 012 162",""
"1998","Germany (including former GDR)","Total","Total","82 057 379",""
"1999","Germany (including former GDR)","Total","Total","82 037 011",""
"2000","Germany (including former GDR)","Total","Total","82 163 475",""
"2001","Germany (including former GDR)","Total","Total","82 259 540",""
"2002","Germany (including former GDR)","Total","Total","82 440 309",""
"2003","Germany (including former GDR)","Total","Total","82 536 680",""
"2004","Germany (including former GDR)","Total","Total","82 531 671",""
"2005","Germany (including former GDR)","Total","Total","82 500 849",""
"2006","Germany (including former GDR)","Total","Total","82 437 995",""
"2007","Germany (including former GDR)","Total","Total","82 314 906",""
"2008","Germany (including former GDR)","Total","Total","82 217 837",""
"2009","Germany (including former GDR)","Total","Total","82 002 356",""
"2010","Germany (including former GDR)","Total","Total","81 802 257",""
"2011","Germany (including former GDR)","Total","Total","81 751 602",""
"2012","Germany (including former GDR)","Total","Total","81 843 743","p"
"1975","Estonia","Total","Total","1 424 073",""
"1976","Estonia","Total","Total","1 434 630",""
"1977","Estonia","Total","Total","1 444 522",""
"1978","Estonia","Total","Total","1 455 900",""
"1979","Estonia","Total","Total","1 464 476",""
"1980","Estonia","Total","Total","1 472 190",""
"1981","Estonia","Total","Total","1 482 247",""
"1982","Estonia","Total","Total","1 493 085",""
"1983","Estonia","Total","Total","1 503 743",""
"1984","Estonia","Total","Total","1 513 747",""
"1985","Estonia","Total","Total","1 523 486",""
"1986","Estonia","Total","Total","1 534 076",""
"1987","Estonia","Total","Total","1 546 304",""
"1988","Estonia","Total","Total","1 558 137",""
"1989","Estonia","Total","Total","1 565 662",""
"1990","Estonia","Total","Total","1 570 599",""
"1991","Estonia","Total","Total","1 567 749",""
"1992","Estonia","Total","Total","1 554 878",""
"1993","Estonia","Total","Total","1 511 303",""
"1994","Estonia","Total","Total","1 476 952",""
"1995","Estonia","Total","Total","1 448 075",""
"1996","Estonia","Total","Total","1 425 192",""
"1997","Estonia","Total","Total","1 405 996",""
"1998","Estonia","Total","Total","1 393 074",""
"1999","Estonia","Total","Total","1 379 237",""
"2000","Estonia","Total","Total","1 372 071",""
"2001","Estonia","Total","Total","1 366 959",""
"2002","Estonia","Total","Total","1 361 242",""
"2003","Estonia","Total","Total","1 356 045",""
"2004","Estonia","Total","Total","1 351 069",""
"2005","Estonia","Total","Total","1 347 510",""
"2006","Estonia","Total","Total","1 344 684",""
"2007","Estonia","Total","Total","1 342 409",""
"2008","Estonia","Total","Total","1 340 935",""
"2009","Estonia","Total","Total","1 340 415",""
"2010","Estonia","Total","Total","1 340 127",""
"2011","Estonia","Total","Total","1 340 194",""
"2012","Estonia","Total","Total","1 339 662","p"
"1975","Ireland","Total","Total","3 163 900",""
"1976","Ireland","Total","Total","3 215 200",""
"1977","Ireland","Total","Total","3 260 900",""
"1978","Ireland","Total","Total","3 303 500",""
"1979","Ireland","Total","Total","3 354 700",""
"1980","Ireland","Total","Total","3 392 800",""
"1981","Ireland","Total","Total","3 432 800",""
"1982","Ireland","Total","Total","3 473 200",""
"1983","Ireland","Total","Total","3 498 400",""
"1984","Ireland","Total","Total","3 522 800",""
"1985","Ireland","Total","Total","3 542 046",""
"1986","Ireland","Total","Total","3 534 117",""
"1987","Ireland","Total","Total","3 545 263",""
"1988","Ireland","Total","Total","3 534 850",""
"1989","Ireland","Total","Total","3 515 048",""
"1990","Ireland","Total","Total","3 506 970",""
"1991","Ireland","Total","Total","3 520 977",""
"1992","Ireland","Total","Total","3 547 492",""
"1993","Ireland","Total","Total","3 569 367",""
"1994","Ireland","Total","Total","3 583 154",""
"1995","Ireland","Total","Total","3 597 617",""
"1996","Ireland","Total","Total","3 620 065",""
"1997","Ireland","Total","Total","3 654 955",""
"1998","Ireland","Total","Total","3 693 386",""
"1999","Ireland","Total","Total","3 732 006",""
"2000","Ireland","Total","Total","3 777 565",""
"2001","Ireland","Total","Total","3 832 783",""
"2002","Ireland","Total","Total","3 899 702",""
"2003","Ireland","Total","Total","3 964 191",""
"2004","Ireland","Total","Total","4 028 851",""
"2005","Ireland","Total","Total","4 111 672",""
"2006","Ireland","Total","Total","4 208 156",""
"2007","Ireland","Total","Total","4 312 526",""
"2008","Ireland","Total","Total","4 401 335",""
"2009","Ireland","Total","Total","4 450 030",""
"2010","Ireland","Total","Total","4 467 854",""
"2011","Ireland","Total","Total","4 570 727","bp"
"2012","Ireland","Total","Total","4 582 769","p"
"1975","Greece","Total","Total","8 986 153",""
"1976","Greece","Total","Total","9 106 928",""
"1977","Greece","Total","Total","9 269 372",""
"1978","Greece","Total","Total","9 347 586",""
"1979","Greece","Total","Total","9 512 332",""
"1980","Greece","Total","Total","9 584 184",""
"1981","Greece","Total","Total","9 700 826",""
"1982","Greece","Total","Total","9 757 874",""
"1983","Greece","Total","Total","9 821 152",""
"1984","Greece","Total","Total","9 872 102",""
"1985","Greece","Total","Total","9 919 500",""
"1986","Greece","Total","Total","9 949 100",""
"1987","Greece","Total","Total","9 985 326",""
"1988","Greece","Total","Total","10 015 863",""
"1989","Greece","Total","Total","10 058 103",""
"1990","Greece","Total","Total","10 120 892",""
"1991","Greece","Total","Total","10 192 911",""
"1992","Greece","Total","Total","10 319 672",""
"1993","Greece","Total","Total","10 420 059",""
"1994","Greece","Total","Total","10 510 996",""
"1995","Greece","Total","Total","10 595 074",""
"1996","Greece","Total","Total","10 673 696",""
"1997","Greece","Total","Total","10 744 649",""
"1998","Greece","Total","Total","10 808 358",""
"1999","Greece","Total","Total","10 861 402",""
"2000","Greece","Total","Total","10 903 757",""
"2001","Greece","Total","Total","10 931 206",""
"2002","Greece","Total","Total","10 968 708",""
"2003","Greece","Total","Total","11 006 377",""
"2004","Greece","Total","Total","11 040 650",""
"2005","Greece","Total","Total","11 082 751",""
"2006","Greece","Total","Total","11 125 179",""
"2007","Greece","Total","Total","11 171 740",""
"2008","Greece","Total","Total","11 213 785",""
"2009","Greece","Total","Total","11 260 402",""
"2010","Greece","Total","Total","11 305 118",""
"2011","Greece","Total","Total","11 309 885",""
"2012","Greece","Total","Total","11 290 067","p"
"1975","Spain","Total","Total","35 338 041",""
"1976","Spain","Total","Total","35 723 408",""
"1977","Spain","Total","Total","36 155 465",""
"1978","Spain","Total","Total","36 584 635",""
"1979","Spain","Total","Total","37 160 377",""
"1980","Spain","Total","Total","37 241 868",""
"1981","Spain","Total","Total","37 636 201",""
"1982","Spain","Total","Total","37 844 910",""
"1983","Spain","Total","Total","38 040 699",""
"1984","Spain","Total","Total","38 204 159",""
"1985","Spain","Total","Total","38 352 991",""
"1986","Spain","Total","Total","38 484 642",""
"1987","Spain","Total","Total","38 586 591",""
"1988","Spain","Total","Total","38 675 049",""
"1989","Spain","Total","Total","38 756 648",""
"1990","Spain","Total","Total","38 826 297",""
"1991","Spain","Total","Total","38 874 573",""
"1992","Spain","Total","Total","39 003 524",""
"1993","Spain","Total","Total","39 131 966",""
"1994","Spain","Total","Total","39 246 833",""
"1995","Spain","Total","Total","39 343 100",""
"1996","Spain","Total","Total","39 430 933",""
"1997","Spain","Total","Total","39 525 438",""
"1998","Spain","Total","Total","39 639 388",""
"1999","Spain","Total","Total","39 802 827",""
"2000","Spain","Total","Total","40 049 708",""
"2001","Spain","Total","Total","40 476 723",""
"2002","Spain","Total","Total","40 964 244",""
"2003","Spain","Total","Total","41 663 702",""
"2004","Spain","Total","Total","42 345 342",""
"2005","Spain","Total","Total","43 038 035",""
"2006","Spain","Total","Total","43 758 250",""
"2007","Spain","Total","Total","44 474 631",""
"2008","Spain","Total","Total","45 283 259",""
"2009","Spain","Total","Total","45 828 172",""
"2010","Spain","Total","Total","45 989 016",""
"2011","Spain","Total","Total","46 152 926",""
"2012","Spain","Total","Total","46 196 276","p"
"1975","France","Total","Total",":",""
"1976","France","Total","Total",":",""
"1977","France","Total","Total",":",""
"1978","France","Total","Total",":",""
"1979","France","Total","Total",":",""
"1980","France","Total","Total",":",""
"1981","France","Total","Total",":",""
"1982","France","Total","Total",":",""
"1983","France","Total","Total",":",""
"1984","France","Total","Total",":",""
"1985","France","Total","Total",":",""
"1986","France","Total","Total",":",""
"1987","France","Total","Total",":",""
"1988","France","Total","Total",":",""
"1989","France","Total","Total",":",""
"1990","France","Total","Total",":",""
"1991","France","Total","Total","58 313 439",""
"1992","France","Total","Total","58 604 851",""
"1993","France","Total","Total","58 885 929",""
"1994","France","Total","Total","59 104 320",""
"1995","France","Total","Total","59 315 139",""
"1996","France","Total","Total","59 522 297",""
"1997","France","Total","Total","59 726 386",""
"1998","France","Total","Total","59 934 884",""
"1999","France","Total","Total","60 158 533",""
"2000","France","Total","Total","60 545 022",""
"2001","France","Total","Total","60 979 315",""
"2002","France","Total","Total","61 424 036",""
"2003","France","Total","Total","61 864 088",""
"2004","France","Total","Total","62 292 241",""
"2005","France","Total","Total","62 772 870",""
"2006","France","Total","Total","63 229 635",""
"2007","France","Total","Total","63 645 065",""
"2008","France","Total","Total","64 007 193",""
"2009","France","Total","Total","64 350 226","p"
"2010","France","Total","Total","64 658 856","p"
"2011","France","Total","Total","64 994 907","p"
"2012","France","Total","Total","65 327 724","p"
"1975","France (metropolitan)","Total","Total","52 600 000",""
"1976","France (metropolitan)","Total","Total","52 798 338",""
"1977","France (metropolitan)","Total","Total","53 019 005",""
"1978","France (metropolitan)","Total","Total","53 271 566",""
"1979","France (metropolitan)","Total","Total","53 481 073",""
"1980","France (metropolitan)","Total","Total","53 731 387",""
"1981","France (metropolitan)","Total","Total","54 028 630",""
"1982","France (metropolitan)","Total","Total","54 335 000",""
"1983","France (metropolitan)","Total","Total","54 649 984",""
"1984","France (metropolitan)","Total","Total","54 894 854",""
"1985","France (metropolitan)","Total","Total","55 157 303",""
"1986","France (metropolitan)","Total","Total","55 411 238",""
"1987","France (metropolitan)","Total","Total","55 681 780",""
"1988","France (metropolitan)","Total","Total","55 966 142",""
"1989","France (metropolitan)","Total","Total","56 269 810",""
"1990","France (metropolitan)","Total","Total","56 577 000",""
"1991","France (metropolitan)","Total","Total","56 840 661",""
"1992","France (metropolitan)","Total","Total","57 110 533",""
"1993","France (metropolitan)","Total","Total","57 369 161",""
"1994","France (metropolitan)","Total","Total","57 565 008",""
"1995","France (metropolitan)","Total","Total","57 752 535",""
"1996","France (metropolitan)","Total","Total","57 935 959",""
"1997","France (metropolitan)","Total","Total","58 116 018",""
"1998","France (metropolitan)","Total","Total","58 298 962",""
"1999","France (metropolitan)","Total","Total","58 496 613",""
"2000","France (metropolitan)","Total","Total","58 858 198",""
"2001","France (metropolitan)","Total","Total","59 266 572",""
"2002","France (metropolitan)","Total","Total","59 685 899",""
"2003","France (metropolitan)","Total","Total","60 101 841",""
"2004","France (metropolitan)","Total","Total","60 505 421",""
"2005","France (metropolitan)","Total","Total","60 963 264",""
"2006","France (metropolitan)","Total","Total","61 399 733",""
"2007","France (metropolitan)","Total","Total","61 795 238",""
"2008","France (metropolitan)","Total","Total","62 134 866",""
"2009","France (metropolitan)","Total","Total","62 465 709",""
"2010","France (metropolitan)","Total","Total","62 765 235","p"
"2011","France (metropolitan)","Total","Total","63 088 990","p"
"2012","France (metropolitan)","Total","Total","63 409 191","p"
"1975","Italy","Total","Total","55 293 036",""
"1976","Italy","Total","Total","55 588 966",""
"1977","Italy","Total","Total","55 847 553",""
"1978","Italy","Total","Total","56 063 269",""
"1979","Italy","Total","Total","56 247 017",""
"1980","Italy","Total","Total","56 388 480",""
"1981","Italy","Total","Total","56 479 285",""
"1982","Italy","Total","Total","56 524 064",""
"1983","Italy","Total","Total","56 563 031",""
"1984","Italy","Total","Total","56 565 117",""
"1985","Italy","Total","Total","56 588 319",""
"1986","Italy","Total","Total","56 597 823",""
"1987","Italy","Total","Total","56 594 487",""
"1988","Italy","Total","Total","56 609 375",""
"1989","Italy","Total","Total","56 649 201",""
"1990","Italy","Total","Total","56 694 360",""
"1991","Italy","Total","Total","56 744 119",""
"1992","Italy","Total","Total","56 772 923",""
"1993","Italy","Total","Total","56 821 250",""
"1994","Italy","Total","Total","56 842 392",""
"1995","Italy","Total","Total","56 844 408",""
"1996","Italy","Total","Total","56 844 197",""
"1997","Italy","Total","Total","56 876 364",""
"1998","Italy","Total","Total","56 904 379",""
"1999","Italy","Total","Total","56 909 109",""
"2000","Italy","Total","Total","56 923 524",""
"2001","Italy","Total","Total","56 960 692",""
"2002","Italy","Total","Total","56 993 742",""
"2003","Italy","Total","Total","57 321 070",""
"2004","Italy","Total","Total","57 888 245",""
"2005","Italy","Total","Total","58 462 375",""
"2006","Italy","Total","Total","58 751 711",""
"2007","Italy","Total","Total","59 131 287",""
"2008","Italy","Total","Total","59 619 290",""
"2009","Italy","Total","Total","60 045 068",""
"2010","Italy","Total","Total","60 340 328",""
"2011","Italy","Total","Total","60 626 442",""
"2012","Italy","Total","Total","60 820 696","p"
"1975","Cyprus","Total","Total","505 700","bi"
"1976","Cyprus","Total","Total","497 879",""
"1977","Cyprus","Total","Total","497 600",""
"1978","Cyprus","Total","Total","498 000",""
"1979","Cyprus","Total","Total","501 300",""
"1980","Cyprus","Total","Total","505 800",""
"1981","Cyprus","Total","Total","512 300",""
"1982","Cyprus","Total","Total","522 845","i"
"1983","Cyprus","Total","Total","524 623",""
"1984","Cyprus","Total","Total","531 518",""
"1985","Cyprus","Total","Total","538 397",""
"1986","Cyprus","Total","Total","544 605",""
"1987","Cyprus","Total","Total","550 888",""
"1988","Cyprus","Total","Total","556 584",""
"1989","Cyprus","Total","Total","562 693",""
"1990","Cyprus","Total","Total","572 655",""
"1991","Cyprus","Total","Total","587 141",""
"1992","Cyprus","Total","Total","603 069",""
"1993","Cyprus","Total","Total","619 231",""
"1994","Cyprus","Total","Total","632 944",""
"1995","Cyprus","Total","Total","645 399",""
"1996","Cyprus","Total","Total","656 333",""
"1997","Cyprus","Total","Total","666 313",""
"1998","Cyprus","Total","Total","675 215",""
"1999","Cyprus","Total","Total","682 862",""
"2000","Cyprus","Total","Total","690 497",""
"2001","Cyprus","Total","Total","697 549",""
"2002","Cyprus","Total","Total","705 539",""
"2003","Cyprus","Total","Total","715 137",""
"2004","Cyprus","Total","Total","730 367",""
"2005","Cyprus","Total","Total","749 175",""
"2006","Cyprus","Total","Total","766 414",""
"2007","Cyprus","Total","Total","778 684",""
"2008","Cyprus","Total","Total","789 269",""
"2009","Cyprus","Total","Total","796 875",""
"2010","Cyprus","Total","Total","819 140","b"
"2011","Cyprus","Total","Total","839 751",""
"2012","Cyprus","Total","Total","862 011",""
"1975","Latvia","Total","Total","2 447 730",""
"1976","Latvia","Total","Total","2 464 529",""
"1977","Latvia","Total","Total","2 477 449",""
"1978","Latvia","Total","Total","2 492 697",""
"1979","Latvia","Total","Total","2 503 145",""
"1980","Latvia","Total","Total","2 508 761",""
"1981","Latvia","Total","Total","2 514 640",""
"1982","Latvia","Total","Total","2 524 202",""
"1983","Latvia","Total","Total","2 537 958",""
"1984","Latvia","Total","Total","2 554 063",""
"1985","Latvia","Total","Total","2 570 030",""
"1986","Latvia","Total","Total","2 587 716",""
"1987","Latvia","Total","Total","2 612 068",""
"1988","Latvia","Total","Total","2 641 097",""
"1989","Latvia","Total","Total","2 665 770",""
"1990","Latvia","Total","Total","2 668 140",""
"1991","Latvia","Total","Total","2 658 161",""
"1992","Latvia","Total","Total","2 643 000",""
"1993","Latvia","Total","Total","2 585 675",""
"1994","Latvia","Total","Total","2 540 904",""
"1995","Latvia","Total","Total","2 500 580",""
"1996","Latvia","Total","Total","2 469 531",""
"1997","Latvia","Total","Total","2 444 912",""
"1998","Latvia","Total","Total","2 420 789",""
"1999","Latvia","Total","Total","2 399 248",""
"2000","Latvia","Total","Total","2 381 715",""
"2001","Latvia","Total","Total","2 364 254",""
"2002","Latvia","Total","Total","2 345 768",""
"2003","Latvia","Total","Total","2 331 480",""
"2004","Latvia","Total","Total","2 319 203",""
"2005","Latvia","Total","Total","2 306 434",""
"2006","Latvia","Total","Total","2 294 590",""
"2007","Latvia","Total","Total","2 281 305",""
"2008","Latvia","Total","Total","2 270 894",""
"2009","Latvia","Total","Total","2 261 294",""
"2010","Latvia","Total","Total","2 248 374",""
"2011","Latvia","Total","Total","2 074 605","b"
"2012","Latvia","Total","Total","2 041 763","p"
"1975","Lithuania","Total","Total","3 288 510",""
"1976","Lithuania","Total","Total","3 314 794",""
