"TIME","GEO","UNIT","INDIC_NA","Value","Flag and Footnotes"
"2012","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","14 500",""
"1975","Denmark","Euro per inhabitant","Gross domestic product at market prices","6 300",""
"1976","Denmark","Euro per inhabitant","Gross domestic product at market prices","7 700",""
"1977","Denmark","Euro per inhabitant","Gross domestic product at market prices","8 400",""
"1978","Denmark","Euro per inhabitant","Gross domestic product at market prices","9 100",""
"1979","Denmark","Euro per inhabitant","Gross domestic product at market prices","9 900",""
"1980","Denmark","Euro per inhabitant","Gross domestic product at market prices","9 800",""
"1981","Denmark","Euro per inhabitant","Gross domestic product at market prices","10 600",""
"1982","Denmark","Euro per inhabitant","Gross domestic product at market prices","11 800",""
"1983","Denmark","Euro per inhabitant","Gross domestic product at market prices","13 000",""
"1984","Denmark","Euro per inhabitant","Gross domestic product at market prices","14 400",""
"1985","Denmark","Euro per inhabitant","Gross domestic product at market prices","15 800",""
"1986","Denmark","Euro per inhabitant","Gross domestic product at market prices","17 200",""
"1987","Denmark","Euro per inhabitant","Gross domestic product at market prices","18 200",""
"1988","Denmark","Euro per inhabitant","Gross domestic product at market prices","18 700",""
"1989","Denmark","Euro per inhabitant","Gross domestic product at market prices","19 500",""
"1990","Denmark","Euro per inhabitant","Gross domestic product at market prices","20 800",""
"1991","Denmark","Euro per inhabitant","Gross domestic product at market prices","21 500",""
"1992","Denmark","Euro per inhabitant","Gross domestic product at market prices","22 500",""
"1993","Denmark","Euro per inhabitant","Gross domestic product at market prices","23 100",""
"1994","Denmark","Euro per inhabitant","Gross domestic product at market prices","24 900",""
"1995","Denmark","Euro per inhabitant","Gross domestic product at market prices","26 600",""
"1996","Denmark","Euro per inhabitant","Gross domestic product at market prices","27 600",""
"1997","Denmark","Euro per inhabitant","Gross domestic product at market prices","28 500",""
"1998","Denmark","Euro per inhabitant","Gross domestic product at market prices","29 300",""
"1999","Denmark","Euro per inhabitant","Gross domestic product at market prices","30 700",""
"2000","Denmark","Euro per inhabitant","Gross domestic product at market prices","32 500",""
"2001","Denmark","Euro per inhabitant","Gross domestic product at market prices","33 500",""
"2002","Denmark","Euro per inhabitant","Gross domestic product at market prices","34 400",""
"2003","Denmark","Euro per inhabitant","Gross domestic product at market prices","35 000",""
"2004","Denmark","Euro per inhabitant","Gross domestic product at market prices","36 500",""
"2005","Denmark","Euro per inhabitant","Gross domestic product at market prices","38 300",""
"2006","Denmark","Euro per inhabitant","Gross domestic product at market prices","40 200",""
"2007","Denmark","Euro per inhabitant","Gross domestic product at market prices","41 700",""
"2008","Denmark","Euro per inhabitant","Gross domestic product at market prices","42 800",""
"2009","Denmark","Euro per inhabitant","Gross domestic product at market prices","40 500",""
"2010","Denmark","Euro per inhabitant","Gross domestic product at market prices","42 600",""
"2011","Denmark","Euro per inhabitant","Gross domestic product at market prices","43 200",""
"2012","Denmark","Euro per inhabitant","Gross domestic product at market prices","43 700",""
"1975","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices",":",""
"1976","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices",":",""
"1977","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices",":",""
"1978","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices",":",""
"1979","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices",":",""
"1980","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices",":",""
"1981","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices",":",""
"1982","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices",":",""
"1983","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices",":",""
"1984","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices",":",""
"1985","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices",":",""
"1986","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices",":",""
"1987","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices",":",""
"1988","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices",":",""
"1989","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices",":",""
"1990","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices",":",""
"1991","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","18 300",""
"1992","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","19 800",""
"1993","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","21 100",""
"1994","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","22 200",""
"1995","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","23 600",""
"1996","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","23 400",""
"1997","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","23 200",""
"1998","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","23 700",""
"1999","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","24 400",""
"2000","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","24 900",""
"2001","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","25 500",""
"2002","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","25 900",""
"2003","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","26 000",""
"2004","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","26 600",""
"2005","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","27 000",""
"2006","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","28 100",""
"2007","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","29 500",""
"2008","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","30 100",""
"2009","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","29 000",""
"2010","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","30 500",""
"2011","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","31 700",""
"2012","Germany (until 1990 former territory of the FRG)","Euro per inhabitant","Gross domestic product at market prices","32 299",""
"1975","Estonia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1976","Estonia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1977","Estonia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1978","Estonia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1979","Estonia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1980","Estonia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1981","Estonia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1982","Estonia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1983","Estonia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1984","Estonia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1985","Estonia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1986","Estonia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1987","Estonia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1988","Estonia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1989","Estonia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1990","Estonia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1991","Estonia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1992","Estonia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1993","Estonia","Euro per inhabitant","Gross domestic product at market prices","1 000",""
"1994","Estonia","Euro per inhabitant","Gross domestic product at market prices","1 400",""
"1995","Estonia","Euro per inhabitant","Gross domestic product at market prices","2 000",""
"1996","Estonia","Euro per inhabitant","Gross domestic product at market prices","2 600",""
"1997","Estonia","Euro per inhabitant","Gross domestic product at market prices","3 200",""
"1998","Estonia","Euro per inhabitant","Gross domestic product at market prices","3 600",""
"1999","Estonia","Euro per inhabitant","Gross domestic product at market prices","3 900",""
"2000","Estonia","Euro per inhabitant","Gross domestic product at market prices","4 500",""
"2001","Estonia","Euro per inhabitant","Gross domestic product at market prices","5 100",""
"2002","Estonia","Euro per inhabitant","Gross domestic product at market prices","5 700",""
"2003","Estonia","Euro per inhabitant","Gross domestic product at market prices","6 400",""
"2004","Estonia","Euro per inhabitant","Gross domestic product at market prices","7 200",""
"2005","Estonia","Euro per inhabitant","Gross domestic product at market prices","8 300",""
"2006","Estonia","Euro per inhabitant","Gross domestic product at market prices","10 000",""
"2007","Estonia","Euro per inhabitant","Gross domestic product at market prices","12 000",""
"2008","Estonia","Euro per inhabitant","Gross domestic product at market prices","12 100",""
"2009","Estonia","Euro per inhabitant","Gross domestic product at market prices","10 300",""
"2010","Estonia","Euro per inhabitant","Gross domestic product at market prices","10 700",""
"2011","Estonia","Euro per inhabitant","Gross domestic product at market prices","11 900",""
"2012","Estonia","Euro per inhabitant","Gross domestic product at market prices","12 700",""
"1975","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1976","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1977","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1978","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1979","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1980","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1981","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1982","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1983","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1984","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1985","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1986","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1987","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1988","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1989","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1990","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1991","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1992","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1993","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1994","Ireland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1995","Ireland","Euro per inhabitant","Gross domestic product at market prices","14 400",""
"1996","Ireland","Euro per inhabitant","Gross domestic product at market prices","16 100",""
"1997","Ireland","Euro per inhabitant","Gross domestic product at market prices","19 600",""
"1998","Ireland","Euro per inhabitant","Gross domestic product at market prices","21 200",""
"1999","Ireland","Euro per inhabitant","Gross domestic product at market prices","24 200",""
"2000","Ireland","Euro per inhabitant","Gross domestic product at market prices","27 800",""
"2001","Ireland","Euro per inhabitant","Gross domestic product at market prices","30 400",""
"2002","Ireland","Euro per inhabitant","Gross domestic product at market prices","33 300",""
"2003","Ireland","Euro per inhabitant","Gross domestic product at market prices","35 200",""
"2004","Ireland","Euro per inhabitant","Gross domestic product at market prices","36 900",""
"2005","Ireland","Euro per inhabitant","Gross domestic product at market prices","39 200",""
"2006","Ireland","Euro per inhabitant","Gross domestic product at market prices","41 600",""
"2007","Ireland","Euro per inhabitant","Gross domestic product at market prices","42 900",""
"2008","Ireland","Euro per inhabitant","Gross domestic product at market prices","39 800",""
"2009","Ireland","Euro per inhabitant","Gross domestic product at market prices","35 500",""
"2010","Ireland","Euro per inhabitant","Gross domestic product at market prices","34 300",""
"2011","Ireland","Euro per inhabitant","Gross domestic product at market prices","35 200",""
"2012","Ireland","Euro per inhabitant","Gross domestic product at market prices","35 600",""
"1975","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1976","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1977","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1978","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1979","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1980","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1981","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1982","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1983","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1984","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1985","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1986","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1987","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1988","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1989","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1990","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1991","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1992","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1993","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1994","Greece","Euro per inhabitant","Gross domestic product at market prices",":",""
"1995","Greece","Euro per inhabitant","Gross domestic product at market prices","9 500",""
"1996","Greece","Euro per inhabitant","Gross domestic product at market prices","10 200",""
"1997","Greece","Euro per inhabitant","Gross domestic product at market prices","11 100",""
"1998","Greece","Euro per inhabitant","Gross domestic product at market prices","11 300",""
"1999","Greece","Euro per inhabitant","Gross domestic product at market prices","12 100",""
"2000","Greece","Euro per inhabitant","Gross domestic product at market prices","12 600",""
"2001","Greece","Euro per inhabitant","Gross domestic product at market prices","13 400",""
"2002","Greece","Euro per inhabitant","Gross domestic product at market prices","14 300",""
"2003","Greece","Euro per inhabitant","Gross domestic product at market prices","15 600",""
"2004","Greece","Euro per inhabitant","Gross domestic product at market prices","16 700",""
"2005","Greece","Euro per inhabitant","Gross domestic product at market prices","17 400","b"
"2006","Greece","Euro per inhabitant","Gross domestic product at market prices","18 700",""
"2007","Greece","Euro per inhabitant","Gross domestic product at market prices","19 900",""
"2008","Greece","Euro per inhabitant","Gross domestic product at market prices","20 800","p"
"2009","Greece","Euro per inhabitant","Gross domestic product at market prices","20 500","p"
"2010","Greece","Euro per inhabitant","Gross domestic product at market prices","19 600","p"
"2011","Greece","Euro per inhabitant","Gross domestic product at market prices","18 500","p"
"2012","Greece","Euro per inhabitant","Gross domestic product at market prices","17 200","p"
"1975","Spain","Euro per inhabitant","Gross domestic product at market prices",":",""
"1976","Spain","Euro per inhabitant","Gross domestic product at market prices",":",""
"1977","Spain","Euro per inhabitant","Gross domestic product at market prices",":",""
"1978","Spain","Euro per inhabitant","Gross domestic product at market prices",":",""
"1979","Spain","Euro per inhabitant","Gross domestic product at market prices",":",""
"1980","Spain","Euro per inhabitant","Gross domestic product at market prices",":",""
"1981","Spain","Euro per inhabitant","Gross domestic product at market prices",":",""
"1982","Spain","Euro per inhabitant","Gross domestic product at market prices",":",""
"1983","Spain","Euro per inhabitant","Gross domestic product at market prices",":",""
"1984","Spain","Euro per inhabitant","Gross domestic product at market prices",":",""
"1985","Spain","Euro per inhabitant","Gross domestic product at market prices",":",""
"1986","Spain","Euro per inhabitant","Gross domestic product at market prices",":",""
"1987","Spain","Euro per inhabitant","Gross domestic product at market prices",":",""
"1988","Spain","Euro per inhabitant","Gross domestic product at market prices",":",""
"1989","Spain","Euro per inhabitant","Gross domestic product at market prices",":",""
"1990","Spain","Euro per inhabitant","Gross domestic product at market prices",":",""
"1991","Spain","Euro per inhabitant","Gross domestic product at market prices","11 400","e"
"1992","Spain","Euro per inhabitant","Gross domestic product at market prices","11 800","e"
"1993","Spain","Euro per inhabitant","Gross domestic product at market prices","10 800","e"
"1994","Spain","Euro per inhabitant","Gross domestic product at market prices","10 800","e"
"1995","Spain","Euro per inhabitant","Gross domestic product at market prices","11 600",""
"1996","Spain","Euro per inhabitant","Gross domestic product at market prices","12 400",""
"1997","Spain","Euro per inhabitant","Gross domestic product at market prices","12 800",""
"1998","Spain","Euro per inhabitant","Gross domestic product at market prices","13 500",""
"1999","Spain","Euro per inhabitant","Gross domestic product at market prices","14 500",""
"2000","Spain","Euro per inhabitant","Gross domestic product at market prices","15 600",""
"2001","Spain","Euro per inhabitant","Gross domestic product at market prices","16 700",""
"2002","Spain","Euro per inhabitant","Gross domestic product at market prices","17 700",""
"2003","Spain","Euro per inhabitant","Gross domestic product at market prices","18 600",""
"2004","Spain","Euro per inhabitant","Gross domestic product at market prices","19 700",""
"2005","Spain","Euro per inhabitant","Gross domestic product at market prices","21 000",""
"2006","Spain","Euro per inhabitant","Gross domestic product at market prices","22 400",""
"2007","Spain","Euro per inhabitant","Gross domestic product at market prices","23 500",""
"2008","Spain","Euro per inhabitant","Gross domestic product at market prices","23 900",""
"2009","Spain","Euro per inhabitant","Gross domestic product at market prices","22 800",""
"2010","Spain","Euro per inhabitant","Gross domestic product at market prices","22 800",""
"2011","Spain","Euro per inhabitant","Gross domestic product at market prices","23 100",""
"2012","Spain","Euro per inhabitant","Gross domestic product at market prices","22 700",""
"1975","France","Euro per inhabitant","Gross domestic product at market prices","5 300",""
"1976","France","Euro per inhabitant","Gross domestic product at market prices","6 100",""
"1977","France","Euro per inhabitant","Gross domestic product at market prices","6 500",""
"1978","France","Euro per inhabitant","Gross domestic product at market prices","7 200",""
"1979","France","Euro per inhabitant","Gross domestic product at market prices","8 100",""
"1980","France","Euro per inhabitant","Gross domestic product at market prices","9 000",""
"1981","France","Euro per inhabitant","Gross domestic product at market prices","9 800",""
"1982","France","Euro per inhabitant","Gross domestic product at market prices","10 500",""
"1983","France","Euro per inhabitant","Gross domestic product at market prices","11 100",""
"1984","France","Euro per inhabitant","Gross domestic product at market prices","11 800",""
"1985","France","Euro per inhabitant","Gross domestic product at market prices","12 700",""
"1986","France","Euro per inhabitant","Gross domestic product at market prices","13 600",""
"1987","France","Euro per inhabitant","Gross domestic product at market prices","13 900",""
"1988","France","Euro per inhabitant","Gross domestic product at market prices","14 700",""
"1989","France","Euro per inhabitant","Gross domestic product at market prices","15 800",""
"1990","France","Euro per inhabitant","Gross domestic product at market prices","16 900",""
"1991","France","Euro per inhabitant","Gross domestic product at market prices","17 200",""
"1992","France","Euro per inhabitant","Gross domestic product at market prices","18 100",""
"1993","France","Euro per inhabitant","Gross domestic product at market prices","18 800",""
"1994","France","Euro per inhabitant","Gross domestic product at market prices","19 500",""
"1995","France","Euro per inhabitant","Gross domestic product at market prices","20 200",""
"1996","France","Euro per inhabitant","Gross domestic product at market prices","20 800",""
"1997","France","Euro per inhabitant","Gross domestic product at market prices","21 000",""
"1998","France","Euro per inhabitant","Gross domestic product at market prices","21 900",""
"1999","France","Euro per inhabitant","Gross domestic product at market prices","22 700",""
"2000","France","Euro per inhabitant","Gross domestic product at market prices","23 700",""
